Title,Difficult,Description,Link,Departments,Topics,urls
Ecology I: The Earth System,Undergraduate,"We will cover fundamentals of ecology, considering Earth as an integrated dynamic system. Topics include coevolution of the biosphere, geosphere, atmosphere and oceans; photosynthesis and respiration; the hydrologic, carbon and nitrogen cycles. We will examine the flow of energy and materials through ecosystems; regulation of the distribution and abundance of organisms; structure and function of ecosystems, including evolution and natural selection; metabolic diversity; productivity; trophic dynamics; models of population growth, competition, mutualism and predation. This course is designated as Communication-Intensive; instruction and practice in oral and written communication provided. Biology is a recommended prerequisite.Show less",https://ocw.mit.edu/courses/1-018j-ecology-i-the-earth-system-fall-2009/,Civil and Environmental Engineering,"Science, Biology, Ecology, Earth Science, Science, Biology, Ecology, Earth Science",https://ocw.mit.edu/courses/1-018j-ecology-i-the-earth-system-fall-2009/6fb954a330c3fe950f2305df362b755a_1-018jf09.jpg
Ecology II: Engineering for Sustainability,Undergraduate,"This course provides a review of physical, chemical, ecological, and economic principles used to examine interactions between humans and the natural environment. Mass balance concepts are applied to ecology, chemical kinetics, hydrology, and transportation; energy balance concepts are applied to building design, ecology, and climate change; and economic and life cycle concepts are applied to resource evaluation and engineering design. Numerical models are used to integrate concepts and to assess environmental impacts of human activities. Problem sets involve development of MATLAB® models for particular engineering applications. Some experience with computer programming is helpful but not essential.Show less",https://ocw.mit.edu/courses/1-020-ecology-ii-engineering-for-sustainability-spring-2008/,Civil and Environmental Engineering,"Engineering, Civil Engineering, Science, Biology, Ecology, Earth Science, Environmental Science, Sustainability, Engineering, Civil Engineering, Science, Biology, Ecology, Earth Science, Environmental Science, Sustainability",https://ocw.mit.edu/courses/1-020-ecology-ii-engineering-for-sustainability-spring-2008/1f6e6928aa30d00ffac1baf0fe2ce516_1-020s08.jpg
Transport Processes in the Environment,Undergraduate,"This class serves as an introduction to mass transport in environmental flows, with emphasis given to river and lake systems. The class will cover the derivation and solutions to the differential form of mass conservation equations. Class topics to be covered will include: molecular and turbulent diffusion, boundary layers, dissolution, bed-water exchange, air-water exchange and particle transport.Show less",https://ocw.mit.edu/courses/1-061-transport-processes-in-the-environment-fall-2008/,Civil and Environmental Engineering,"Engineering, Chemical Engineering, Transport Processes, Environmental Engineering, Aquatic Sciences and Water Quality Control, Hydrology and Water Resource Systems, Engineering, Chemical Engineering, Transport Processes, Environmental Engineering, Aquatic Sciences and Water Quality Control, Hydrology and Water Resource Systems",https://ocw.mit.edu/courses/1-061-transport-processes-in-the-environment-fall-2008/c7c2146d0db632cbdd748084dbe0765f_1-061f08.jpg
Advanced Fluid Dynamics of the Environment,Graduate,"Designed to familiarize students with theories and analytical tools useful for studying research literature, this course is a survey of fluid mechanical problems in the water environment. Because of the inherent nonlinearities in the governing equations, we shall emphasize the art of making analytical approximations not only for facilitating calculations but also for gaining deeper physical insight. The importance of scales will be discussed throughout the course in lectures and homeworks. Mathematical techniques beyond the usual preparation of first-year graduate students will be introduced as a part of the course. Topics vary from year to year.Show less",https://ocw.mit.edu/courses/1-63-advanced-fluid-dynamics-of-the-environment-fall-2002/,Civil and Environmental Engineering,"Engineering, Environmental Engineering, Hydrodynamics and Coastal Engineering, Mechanical Engineering, Fluid Mechanics, Ocean Engineering, Hydrodynamics, Engineering, Environmental Engineering, Hydrodynamics and Coastal Engineering, Mechanical Engineering, Fluid Mechanics, Ocean Engineering, Hydrodynamics",https://ocw.mit.edu/courses/1-63-advanced-fluid-dynamics-of-the-environment-fall-2002/3f2d7124b2f556748bf2449858ad6329_1-63f02.gif
"Land, Water, Food, and Climate",Graduate,"This reading seminar examines land, water, food, and climate in a changing world, with an emphasis on key scientific questions about the connections between natural resources and food production. Students read and discuss papers on a range of topics, including water and land resources, climate change, demography, agroecology, biotechnology, trade, and food security. The readings are supplemented by short lectures that provide context and summarize main points. The seminar provides a broad perspective on one of the defining global issues of this century. Students consider scientific controversies as well as areas of general agreement and examine practical solutions for addressing critical problems.Show less",https://ocw.mit.edu/courses/1-74-land-water-food-and-climate-fall-2020/,Civil and Environmental Engineering,"Energy, Climate, Renewables, Science, Earth Science, Climate Studies, Environmental Science, Sustainability, Energy, Climate, Renewables, Science, Earth Science, Climate Studies, Environmental Science, Sustainability",https://ocw.mit.edu/courses/1-74-land-water-food-and-climate-fall-2020/91c7e46aac2bd5748ba131e1e5a55ee2_1-74s19.jpg
Atmospheric Chemistry,Graduate,"This course provides a detailed overview of the chemical transformations that control the abundances of key trace species in the Earth’s atmosphere. Emphasizes the effects of human activity on air quality and climate. Topics include photochemistry, kinetics, and thermodynamics important to the chemistry of the atmosphere; stratospheric ozone depletion; oxidation chemistry of the troposphere; photochemical smog; aerosol chemistry; and sources and sinks of greenhouse gases and other climate forcers.Show less",https://ocw.mit.edu/courses/1-84j-atmospheric-chemistry-fall-2013/,Civil and Environmental Engineering,"Energy, Climate, Science, Earth Science, Atmospheric Science, Energy, Climate, Science, Earth Science, Atmospheric Science",https://ocw.mit.edu/courses/1-84j-atmospheric-chemistry-fall-2013/aea7f5215f80326880c9c3be83afadc1_1-84jf13.jpg
Thermodynamics & Kinetics,Undergraduate,"This subject deals primarily with equilibrium properties of macroscopic systems, basic thermodynamics, chemical equilibrium of reactions in gas and solution phase, and rates of chemical reactions.
ACKNOWLEDGEMENTS
The material for 5.60 has evolved over a period of many years, and therefore several faculty members have contributed to the development of the course contents. The following are known to have assisted in preparing the lecture notes available on OpenCourseWare: Emeritus Professors of Chemistry: Robert A. Alberty, Carl W. Garland, Irwin Oppenheim, John S. Waugh. Professors of Chemistry: Moungi Bawendi, John M. Deutch, Robert W. Field, Robert G. Griffin, Keith A. Nelson, Robert J. Silbey, Jeffrey I. Steinfeld. Professor of Bioengineering and Computer Science: Bruce Tidor. Professor of Chemistry, Rice University: James L. Kinsey. Professor of Physics, University of Illinois: Philip W. Phillips.
Show less",https://ocw.mit.edu/courses/5-60-thermodynamics-kinetics-spring-2008/,Chemistry,"Science, Chemistry, Physical Chemistry, Physics, Classical Mechanics, Thermodynamics, Science, Chemistry, Physical Chemistry, Physics, Classical Mechanics, Thermodynamics",https://ocw.mit.edu/courses/5-60-thermodynamics-kinetics-spring-2008/15f29189c66d698a742c562fb1f723ef_5-60s08.jpg
The Physics of Energy,Undergraduate,"This course is designed to give you the scientific understanding you need to answer questions like:
How much energy can we really get from wind?
How does a solar photovoltaic work?
What is an OTEC (Ocean Thermal Energy Converter) and how does it work?
What is the physics behind global warming?
What makes engines efficient?
How does a nuclear reactor work, and what are the realistic hazards?
The course is designed for MIT sophomores, juniors, and seniors who want to understand the fundamental laws and physical processes that govern the sources, extraction, transmission, storage, degradation, and end uses of energy.
Show less",https://ocw.mit.edu/courses/8-21-the-physics-of-energy-fall-2009/,Physics,"Energy, Buildings, Climate, Combustion, Electricity, Fossil Fuels, Fuel Cells, Hydrogen and Alternatives, Nuclear, Renewables, Technology, Science, Physics, Energy, Buildings, Climate, Combustion, Electricity, Fossil Fuels, Fuel Cells, Hydrogen and Alternatives, Nuclear, Renewables, Technology, Science, Physics",https://ocw.mit.edu/courses/8-21-the-physics-of-energy-fall-2009/1fdc422e81a1b4aad13fb6657648ad25_8-21f09.jpg
Solving Complex Problems,Undergraduate,"12.000 Solving Complex Problems is designed to provide students the opportunity to work as part of a team to propose solutions to a complex problem that requires an interdisciplinary approach. For the students of the class of 2013, 12.000 will revolve around the issues associated with what we can and must do about the steadily increasing amounts CO2 in Earth’s atmosphere.
12.000 is a core course for the MIT Terrascope freshman learning community. Each year’s class explores a different problem in detail through the study of complementary case histories and the development of creative solution strategies. It includes training in Web site development, effective written and oral communication, and team building. Initially developed with major financial support from the d’Arbeloff Fund for Excellence in Education, 12.000 is designed to enhance the freshman experience by helping students develop contexts for other subjects in the sciences and humanities, and by helping them to establish learning communities that include upperclassmen, faculty, MIT alumni, and professionals in science and engineering fields.
Show less",https://ocw.mit.edu/courses/12-000-solving-complex-problems-fall-2009/,"Earth, Atmospheric, and Planetary Sciences","Engineering, Environmental Engineering, Environmental Management, Science, Earth Science, Atmospheric Science, Environmental Science, Social Science, Public Administration, Environmental Policy, Engineering, Environmental Engineering, Environmental Management, Science, Earth Science, Atmospheric Science, Environmental Science, Social Science, Public Administration, Environmental Policy",https://ocw.mit.edu/courses/12-000-solving-complex-problems-fall-2009/d0858e57959fc33931782b75722957ef_12-000f09.jpg
Introduction to Geology,Undergraduate,"Geology is the core discipline of the earth sciences and encompasses many different phenomena, including plate tectonics and mountain building, volcanoes and earthquakes, and the long-term evolution of Earth’s atmosphere, surface and life. Because of the ever-increasing demand for resources, the growing exposure to natural hazards, and the changing climate, geology is of considerable societal relevance. This course introduces students to the basics of geology. Through a combination of lectures, labs, and field observations, we will address topics ranging from mineral and rock identification to the origin of the continents, from geologic mapping to plate tectonics, and from erosion by rivers and glaciers to the history of life.Show less",https://ocw.mit.edu/courses/12-001-introduction-to-geology-fall-2013/,"Earth, Atmospheric, and Planetary Sciences","Science, Earth Science, Geology, Science, Earth Science, Geology",https://ocw.mit.edu/courses/12-001-introduction-to-geology-fall-2013/76ea2d54123485055dd1e6621b9edf6a_12-001f13.jpg
