Title,Difficult,Description,Departments,Topics,urls
Introduction to Civil and Environmental Engineering Design I,Undergraduate,"In this sophomore design course, you will be challenged with three design tasks: a first concerning water resources/treatment, a second concerning structural design, and a third focusing on the conceptual (re)design of a large system, Boston’s Back Bay. The first two tasks require the design, fabrication and testing of hardware. Several laboratory experiments will be carried out and lectures will be presented to introduce students to the conceptual and experimental basis for design in both domains.
This course was based in large part on the Fall 2005 offering of 1.101, developed by Prof. Harold Hemond.
Show less",Civil and Environmental Engineering,"Engineering, Civil Engineering, Environmental Engineering, Engineering, Civil Engineering, Environmental Engineering",https://ocw.mit.edu/courses/1-101-introduction-to-civil-and-environmental-engineering-design-i-fall-2006/7315eeb76ec2f89fdaa0c31e38a417ca_1-101f06.jpg
Public Transportation Systems,Graduate,"This course discusses the evolution and role of urban public transportation modes, systems, and services, focusing on bus and rail. It covers various topics, including current practice and new methods for data collection and analysis, performance monitoring, route design, frequency determination, vehicle and crew scheduling, effect of pricing policy and service quality on ridership.Show less",Civil and Environmental Engineering,"Engineering, Civil Engineering, Transportation Engineering, Social Science, Urban Studies, Transportation Planning, Engineering, Civil Engineering, Transportation Engineering, Social Science, Urban Studies, Transportation Planning",https://ocw.mit.edu/courses/1-258j-public-transportation-systems-spring-2017/f05dd8f8311ee9d6d192ab981cbbdf3e_1-258Js17.jpg
Urban Energy Systems and Policy,"Undergraduate, Graduate","This class is about figuring out together what cities and users can do to reduce their energy use and carbon emissions. Many other classes at MIT focus on policies, technologies, and systems, often at the national or international level, but this course focuses on the scale of cities and users. It is designed for any students interested in learning how to intervene in the energy use of cities using policy, technology, economics, and urban planning.Show less",Urban Studies and Planning,"Energy, Social Science, Urban Studies, Urban Planning, Energy, Social Science, Urban Studies, Urban Planning",https://ocw.mit.edu/courses/11-165j-urban-energy-systems-and-policy-fall-2022/11-165f21.jpg
Urban Transportation Planning,Graduate,"This course examines the policy, politics, planning, and engineering of transportation systems in urban areas, with a special focus on the Boston area. It covers the role of the federal, state, and local government and the MPO, public transit in the era of the automobile, analysis of current trends and pattern breaks; analytical tools for transportation planning, traffic engineering, and policy analysis; the contribution of transportation to air pollution, social costs, and climate change; land use and transportation interactions, and more. Transportation sustainability is a central theme throughout the course, as well as consideration of if and how it is possible to resolve the tension between the three E’s (environment, economy, and equity). The goal of this course is to elicit discussion, stimulate independent thinking, and encourage students to understand and challenge the “conventional wisdom” of transportation planning.Show less",Civil and Environmental Engineering,"Engineering, Civil Engineering, Transportation Engineering, Social Science, Public Administration, Public Policy, Urban Studies, Transportation Planning, Urban Planning, Engineering, Civil Engineering, Transportation Engineering, Social Science, Public Administration, Public Policy, Urban Studies, Transportation Planning, Urban Planning",https://ocw.mit.edu/courses/1-252j-urban-transportation-planning-fall-2016/da01775110f44dcb70ce6a87159c9ef3_1-252F16.jpg
Water Resource Systems,Graduate,"This subject is concerned with quantitative methods for analyzing large-scale water resource problems. Topics covered include the design and management of facilities for river basin development, flood control, water supply, groundwater remediation, and other activities related to water resources. Simulation models and optimization methods are often used to support analyses of water resource problems. In this subject we will be constructing simulation models with the MATLAB® programming language and solving numerical optimization problems with the GAMS optimization package.Show less",Civil and Environmental Engineering,"Engineering, Environmental Engineering, Aquatic Sciences and Water Quality Control, Hydrodynamics and Coastal Engineering, Hydrology and Water Resource Systems, Engineering, Environmental Engineering, Aquatic Sciences and Water Quality Control, Hydrodynamics and Coastal Engineering, Hydrology and Water Resource Systems",https://ocw.mit.edu/courses/1-731-water-resource-systems-fall-2006/7ddf960729a6748d9d037592aecf12c6_1-731f06.jpg
Water and Wastewater Treatment Engineering,Graduate,"This course is an overview of engineering approaches to protecting water quality with an emphasis on fundamental principals. Theory and conceptual design of systems for treating municipal wastewater and drinking water are discussed, as well as reactor theory, process kinetics, and models. Physical, chemical, and biological processes are presented, including sedimentation, filtration, biological treatment, disinfection, and sludge processing. Finally, there is discussion of engineered and natural processes for wastewater treatment.Show less",Civil and Environmental Engineering,"Engineering, Environmental Engineering, Aquatic Sciences and Water Quality Control, Hydrology and Water Resource Systems, Engineering, Environmental Engineering, Aquatic Sciences and Water Quality Control, Hydrology and Water Resource Systems",https://ocw.mit.edu/courses/1-85-water-and-wastewater-treatment-engineering-spring-2006/5e23ac55e86cbd568daa8dd8b2662b59_1-85s06.jpg
"Exploring Sea, Space, & Earth: Fundamentals of Engineering Design",Undergraduate,"Student teams formulate and complete space/earth/ocean exploration-based design projects with weekly milestones. This course introduces core engineering themes, principles, and modes of thinking, and includes exercises in written and oral communication and team building. Specialized learning modules enable teams to focus on the knowledge required to complete their projects, such as machine elements, electronics, design process, visualization and communication. Examples of projects include surveying a lake for millfoil from a remote controlled aircraft, then sending out robotic harvesters to clear the invasive growth; and exploration to search for the evidence of life on a moon of Jupiter, with scientists participating through teleoperation and supervisory control of robots.Show less",Mechanical Engineering,"Engineering, Electrical Engineering, Robotics and Control Systems, Mechanical Engineering, Mechanical Design, Ocean Engineering, Ocean Exploration, Systems Engineering, Systems Design, Engineering, Electrical Engineering, Robotics and Control Systems, Mechanical Engineering, Mechanical Design, Ocean Engineering, Ocean Exploration, Systems Engineering, Systems Design",https://ocw.mit.edu/courses/2-00aj-exploring-sea-space-earth-fundamentals-of-engineering-design-spring-2009/b6a31a6a85998d664ea826a766d9032b_2-00ajs09.jpg
Desalination and Water Purification,Graduate,"Water supply is a problem of worldwide concern: more than 1 billion people do not have reliable access to clean drinking water. Water is a particular problem for the developing world, but scarcity also impacts industrial societies. Water purification and desalination technology can be used to convert brackish ground water or seawater into drinking water. The challenge is to do so sustainably, with minimum cost and energy consumption, and with appropriately accessible technologies.
This subject will survey the state-of-the-art in water purification by desalination and filtration. Fundamental thermodynamic and transport processes which govern the creation of fresh water from seawater and brackish ground water will be developed. The technologies of existing desalination systems will be discussed, and factors which limit the performance or the affordability of these systems will be highlighted. Energy efficiency will be a focus. Nanofiltration and emerging technologies for desalination will be considered. A student project in desalination will involve designing a well-water purification system for a village in Haiti.
Show less",Mechanical Engineering,"Energy, Climate, Engineering, Chemical Engineering, Separation Processes, Environmental Engineering, Aquatic Sciences and Water Quality Control, Hydrology and Water Resource Systems, Ocean Engineering, Oceanic Pollution Control, Energy, Climate, Engineering, Chemical Engineering, Separation Processes, Environmental Engineering, Aquatic Sciences and Water Quality Control, Hydrology and Water Resource Systems, Ocean Engineering, Oceanic Pollution Control",https://ocw.mit.edu/courses/2-500-desalination-and-water-purification-spring-2009/e49f672b88e589aa7a4591d86ddf9c21_2-500s09.jpg
Fundamentals of Advanced Energy Conversion,Undergraduate,"This course covers fundamentals of thermodynamics, chemistry, and transport applied to energy systems. Topics include analysis of energy conversion and storage in thermal, mechanical, chemical, and electrochemical processes in power and transportation systems, with emphasis on efficiency, performance, and environmental impact. Applications include fuel reforming and alternative fuels, hydrogen, fuel cells and batteries, combustion, catalysis, combined and hybrid power cycles using fossil, nuclear and renewable resources.Show less",Mechanical Engineering,"Energy, Combustion, Fossil Fuels, Fuel Cells, Hydrogen and Alternatives, Nuclear, Renewables, Engineering, Chemical Engineering, Transport Processes, Systems Engineering, Science, Physics, Thermodynamics, Energy, Combustion, Fossil Fuels, Fuel Cells, Hydrogen and Alternatives, Nuclear, Renewables, Engineering, Chemical Engineering, Transport Processes, Systems Engineering, Science, Physics, Thermodynamics",https://ocw.mit.edu/courses/2-60j-fundamentals-of-advanced-energy-conversion-spring-2020/92fc5969d1aa2ec6a7e2ed62f781e38b_2-60js20.jpg
Principles of Engineering Practice,Undergraduate,"This class introduces students to the interdisciplinary nature of 21st-century engineering projects with three threads of learning: a technical toolkit, a social science toolkit, and a methodology for problem-based learning. Students encounter the social, political, economic, and technological challenges of engineering practice by participating in real engineering projects with faculty and industry; this semester’s major project focuses on the engineering and economics of solar cells. Student teams will create prototypes and mixed media reports with exercises in project planning, analysis, design, optimization, demonstration, reporting and team building.Show less",Materials Science and Engineering,"Business, Management, Engineering, Electrical Engineering, Materials Science and Engineering, Electronic Materials, Business, Management, Engineering, Electrical Engineering, Materials Science and Engineering, Electronic Materials",https://ocw.mit.edu/courses/3-003-principles-of-engineering-practice-spring-2010/fe3a1cbf6a783697b2195b932a571f9c_3-003s10.jpg
Economic & Environmental Issues in Materials Selection,Undergraduate,"Choice of material has implications throughout the life-cycle of a product, influencing many aspects of economic and environmental performance. This course will provide a survey of methods for evaluating those implications. Lectures will cover topics in material choice concepts, fundamentals of engineering economics, manufacturing economics modeling methods, and life-cycle environmental evaluation.Show less",Materials Science and Engineering,"Engineering, Materials Science and Engineering, Science, Earth Science, Environmental Science, Social Science, Economics, Engineering, Materials Science and Engineering, Science, Earth Science, Environmental Science, Social Science, Economics",https://ocw.mit.edu/courses/3-080-economic-environmental-issues-in-materials-selection-fall-2005/de22d5ac8537cc7b8cd7732c43e234e3_3-080f05.jpg
